"Status Code/Type"	"Row Name"	"Run #"	CS_1	CS_10	CS_11	CS_12	CS_2	CS_3	CS_4	CS_5	CS_6	CS_7	CS_8	CS_9	IB_1	IB_10	IB_11	IB_12	IB_2	IB_3	IB_4	IB_5	IB_6	IB_7	IB_8	IB_9	IC_1	IC_10	IC_11	IC_12	IC_2	IC_3	IC_4	IC_5	IC_6	IC_7	IC_8	IC_9	ID_1	ID_10	ID_11	ID_12	ID_2	ID_3	ID_4	ID_5	ID_6	ID_7	ID_8	ID_9	IF_1	IF_10	IF_11	IF_12	IF_2	IF_3	IF_4	IF_5	IF_6	IF_7	IF_8	IF_9	M_CS_1	M_CS_10	M_CS_11	M_CS_12	M_CS_2	M_CS_3	M_CS_4	M_CS_5	M_CS_6	M_CS_7	M_CS_8	M_CS_9	M_IB_1	M_IB_10	M_IB_11	M_IB_12	M_IB_2	M_IB_3	M_IB_4	M_IB_5	M_IB_6	M_IB_7	M_IB_8	M_IB_9	M_IC_1	M_IC_10	M_IC_11	M_IC_12	M_IC_2	M_IC_3	M_IC_4	M_IC_5	M_IC_6	M_IC_7	M_IC_8	M_IC_9	M_ID_1	M_ID_10	M_ID_11	M_ID_12	M_ID_2	M_ID_3	M_ID_4	M_ID_5	M_ID_6	M_ID_7	M_ID_8	M_ID_9	M_IF_1	M_IF_10	M_IF_12	M_IF_2	M_IF_3	M_IF_4	M_IF_5	M_IF_6	M_IF_7	M_IF_8	M_IF_9	M_OB_1	M_OB_10	M_OB_11	M_OB_12	M_OB_2	M_OB_3	M_OB_4	M_OB_5	M_OB_6	M_OB_7	M_OB_8	M_OB_9	M_OC_1	M_OC_10	M_OC_11	M_OC_12	M_OC_2	M_OC_3	M_OC_4	M_OC_5	M_OC_6	M_OC_7	M_OC_8	M_OC_9	M_OD_1	M_OD_10	M_OD_11	M_OD_12	M_OD_2	M_OD_3	M_OD_4	M_OD_5	M_OD_6	M_OD_7	M_OD_8	M_OD_9	M_OF_1	M_OF_10	M_OF_11	M_OF_12	M_OF_2	M_OF_3	M_OF_4	M_OF_5	M_OF_6	M_OF_7	M_OF_8	M_OF_9	n_CS	n_IB	n_IC	n_ID	n_IF	n_OB	n_OC	n_OD	n_OF	OB_1	OB_10	OB_11	OB_12	OB_2	OB_3	OB_4	OB_5	OB_6	OB_7	OB_8	OB_9	OC_1	OC_10	OC_11	OC_12	OC_2	OC_3	OC_4	OC_5	OC_6	OC_7	OC_8	OC_9	OD_1	OD_10	OD_11	OD_12	OD_2	OD_3	OD_4	OD_5	OD_6	OD_7	OD_8	OD_9	OF_1	OF_10	OF_11	OF_12	OF_2	OF_3	OF_4	OF_5	OF_6	OF_7	OF_8	OF_9	Braking__U__mag__max	Camber_Gain_2g_Braking	HEX_areal	HEX_mass	Mass_total	Tot_Strain	U_flange_Braking	U_flange_Bump_Braking	U_flange_Bump_Cornering	U_flange_Cornering	UD__mass	UD_areal	"Design Feasibility"	"Objective and Penalty"	"Objective Function"	"Penalty Function"
OK	Optimization1[1]/Subflow[1]	1	45	0	45	45	45	0	45	45	0	0	15	45	45	45	45	45	45	0	45	45	15	0	45	0	45	45	30	45	45	30	45	45	45	45	45	15	45	45	45	45	45	45	45	0	0	45	45	0	45	45	0	45	45	0	45	0	45	45	30	45	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	8	6	7	6	5	8	6	6	45	45	30	45	45	45	45	45	60	0	45	45	45	45	45	45	45	0	45	60	45	0	45	15	45	45	45	45	45	45	45	45	45	45	45	0	45	45	45	45	45	45	0	45	30	0	45	45	1.09353	0.0881668180077	0.66226875	529.815	541.83	13783.4197998	1.0935280711	1.32149804514	2.01369437086	1.72157166954	12.015	0.0801	3	17497502787.43725	13783.4197998	17497489004.01745
OK	Optimization1[1]/Subflow[5]	5	45	-60	75	75	-60	75	-60	75	75	0	-60	15	45	-30	75	45	15	60	-60	75	-60	-60	-30	75	45	75	-60	-60	-30	75	-60	-30	-60	15	45	45	45	15	-60	75	15	-60	75	30	0	15	-60	60	45	45	-60	45	75	-60	-60	0	-60	75	75	75	1	1	0	0	1	1	1	1	0	1	0	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	9	10	8	8	6	5	6	8	8	45	75	0	75	-60	45	-30	-30	30	-60	75	45	45	-30	75	75	45	0	75	75	45	30	-30	-60	45	15	-30	45	15	75	75	-30	75	75	-30	30	45	75	75	15	75	-60	-60	15	-60	-60	45	15	1.1492	0.0766893343546	0.632115	505.692	568.287	14910.6359863	1.14919790409	1.36753553048	2.02982703031	1.73905026002	62.595	0.4173	1	46631158602.2108	14910.6359863	46631143691.574814
OK	Optimization1[1]/Subflow[8]	8	45	-60	-30	75	-30	-60	-60	75	0	30	75	45	45	75	-60	75	45	30	15	45	-60	0	-30	-60	45	15	-60	-30	15	75	-30	-60	-30	45	75	-30	45	75	75	75	45	-30	15	0	75	75	-30	-60	45	-60	30	15	15	30	75	0	75	-60	-60	75	1	1	0	1	0	0	0	0	1	0	1	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	6	7	4	8	8	8	6	4	8	45	-60	-60	75	75	45	15	15	-60	-60	-60	75	45	45	75	75	75	30	75	-60	75	0	15	-60	45	45	75	75	-60	15	75	-30	-60	-60	75	-60	45	15	-60	-60	75	15	60	-30	60	30	75	-60	1.68874	0.0736497796064	0.44818125	358.545	434.025	19919.4746094	1.68874115688	1.9852050487	2.42452995228	2.03449951822	75.48	0.5032	1	43527026193.217896	19919.4746094	43527006273.743286
OK	Optimization1[1]/Subflow[19]	19	45	0	-60	-60	75	-60	75	75	-60	0	45	75	45	75	45	75	75	0	45	15	-60	60	75	0	45	75	-60	75	75	-60	75	15	-60	-60	-60	-60	45	-60	75	-60	-30	-60	75	75	0	-30	-60	60	45	45	-60	-60	75	75	-60	75	45	15	0	75	1	1	0	0	0	0	1	1	0	0	0	0	1	0	1	0	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	6	12	4	5	8	7	10	4	6	45	-60	75	45	75	45	75	75	0	75	45	-60	45	75	75	75	75	-60	75	75	-60	-60	-30	15	45	75	75	75	15	-60	-60	-60	45	75	75	75	45	75	45	45	-60	-30	75	45	-60	60	75	-30	1.35138	0.081670179464	0.50469375	403.755	469.365	18200.2398682	1.34903847396	1.55876889117	1.94708440888	1.63614537067	65.61	0.4374	3	9385050459.659126	18200.2398682	9385032259.419258
OK	Optimization1[1]/Subflow[22]	22	45	-60	15	75	15	-60	75	-60	-60	-60	45	75	45	-60	75	75	-30	75	75	75	-60	60	75	60	45	-30	60	75	15	-60	75	-60	-60	-60	-60	-60	45	15	75	-60	-30	15	45	-60	-60	-30	75	60	45	15	0	-60	45	75	-60	75	75	-60	60	-60	1	1	0	0	0	0	0	1	1	0	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	11	7	8	7	6	5	10	4	5	45	-30	30	45	45	75	15	75	0	60	75	-60	45	75	-60	75	75	-60	75	75	-60	30	-60	75	45	75	15	75	45	-60	45	-60	45	75	75	60	45	15	45	75	45	-30	30	75	-60	75	75	45	1.07152	0.0877263471557	0.6473775	517.902	589.002	13868.4915771	1.07093943034	1.29653498777	2.02862249776	1.74054322248	71.1	0.474	1	79213573910.88675	13868.4915771	79213560042.39517
OK	Optimization1[1]/Subflow[32]	32	45	-60	-60	15	15	30	-30	75	-60	-60	45	45	45	75	-30	45	75	0	-60	15	-60	-60	75	-60	45	75	-60	-30	-30	-60	15	75	-30	-30	45	-60	45	75	75	45	-60	-60	75	75	-60	-60	-60	75	45	75	-60	-30	75	75	-60	75	45	75	-60	75	1	1	0	0	1	0	0	1	1	0	1	0	1	0	0	0	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	10	4	4	6	5	12	4	6	45	-60	30	75	75	75	45	75	30	75	45	-60	45	75	75	-30	75	-60	75	30	-60	30	45	-60	45	-30	15	-60	45	45	-60	75	75	75	75	75	45	15	75	-60	-30	15	75	-30	-60	60	75	-60	1.40259	0.0800661538359	0.553245	442.596	482.406	17519.666748	1.40259335138	1.67505962778	2.35012164917	1.98902911977	39.81	0.2654	3	3095505882.2501345	17519.666748	3095488362.5833864
OK	Optimization1[1]/Subflow[34]	34	45	30	45	75	-30	60	15	75	75	-60	75	45	45	-30	75	15	75	-60	15	75	-30	-60	75	30	45	75	30	-60	-60	-60	-60	-60	75	-60	15	-60	45	15	75	75	75	15	75	60	-60	-60	-60	30	45	75	30	-60	75	-60	-60	75	15	-30	-60	15	1	1	1	0	1	0	1	0	1	0	1	0	1	1	1	0	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	6	12	4	7	6	8	8	4	8	45	-60	75	75	75	-30	75	15	-60	75	75	-60	45	15	45	15	-30	-60	75	-60	75	-60	45	-60	45	-60	-60	-60	75	75	-30	75	75	75	15	0	45	75	75	-30	-60	75	0	45	-60	30	45	-60	1.27012	0.0714453920632	0.5609175	448.734	494.889	16927.7069092	1.26986309703	1.4920377806	2.06134370701	1.75792561485	46.155	0.3077	3	261240140.04971564	16927.7069092	261223212.34280643
OK	Optimization1[1]/Subflow[35]	35	45	-60	45	75	45	75	-60	75	75	60	75	75	45	-30	15	75	15	-60	75	-60	15	-60	45	75	45	15	30	15	-60	-60	-60	-60	75	-60	-60	-30	45	15	75	-60	-60	75	45	-60	-60	-60	45	-60	45	-60	75	-60	45	-60	-60	-60	15	-60	-60	75	1	1	1	0	1	0	1	0	1	1	1	0	1	1	0	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	9	12	6	5	6	8	10	6	5	45	-60	-60	-60	75	-30	45	-60	30	75	75	-60	45	75	45	-60	45	-60	15	-60	75	0	15	-60	45	-60	-60	75	75	75	-60	15	15	-30	45	0	45	15	15	-30	-60	75	0	-30	-60	75	-30	-60	1.34835	0.0579826338013	0.62959875	503.679	562.539	15532.6707764	1.34835377209	1.61874182268	2.77265055063	2.36437367814	58.86	0.3924	1	39111280745.31231	15532.6707764	39111265212.64153
OK	Optimization1[1]/Subflow[36]	36	45	60	15	75	75	30	75	75	75	-60	15	15	45	-30	75	15	75	-60	75	45	-60	-60	75	30	45	75	-60	-60	75	0	45	-60	75	-60	-30	-60	45	75	75	75	75	75	75	60	-60	15	15	0	45	45	-60	-60	75	-60	-60	75	45	-60	0	75	1	0	1	0	1	1	1	0	1	1	1	0	1	0	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	6	8	4	4	6	5	10	4	5	45	-30	0	45	-60	-60	45	75	-60	60	45	-60	45	45	-60	75	75	-60	75	30	75	-60	45	15	45	45	-60	15	75	75	15	75	15	75	-60	-60	45	15	-60	75	-60	75	60	75	-60	-60	75	-60	1.599	0.104232700849	0.54371625	434.973	459.993	20118.8863525	1.59354339457	1.89828861108	2.48470299433	2.09273014567	25.02	0.1668	1	16005620612.07213	20118.8863525	16005600493.185778
OK	Optimization1[1]/Subflow[38]	38	45	30	-30	75	-30	75	45	15	75	-60	75	45	45	15	-60	-30	-30	60	45	75	-60	-60	45	-60	45	75	75	45	-60	-60	75	-30	75	-60	-60	-60	45	-60	75	75	15	45	45	-60	-60	-60	-60	60	45	75	0	-30	75	-60	-60	75	-30	45	60	75	1	1	1	0	1	0	0	1	1	0	0	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	11	12	8	8	6	8	8	4	8	45	-30	75	45	75	-60	15	-60	0	75	75	-60	45	45	75	15	45	75	45	30	-30	-60	-30	-60	45	-60	15	-60	75	45	-60	75	15	15	15	-60	45	15	45	-60	-60	75	60	-60	-60	-60	45	15	1.00849	0.0572943090072	0.71061375	568.491	637.641	13203.4869385	1.0079388798	1.20041594251	1.90482571032	1.64414969977	69.15	0.461	1	189450462027.54605	13203.4869385	189450448824.0591
