   IF    IB    CS    ID    IC    OC    OD    OB    OF
 45.0  45.0  45.0  45.0  45.0  45.0  45.0  45.0  45.0
 75.0  15.0 -60.0  15.0 -30.0  45.0  15.0 -60.0  75.0
-60.0  60.0  75.0 -60.0  75.0   0.0  75.0  45.0 -60.0
-60.0 -60.0 -60.0  75.0 -60.0  75.0  75.0 -30.0 -60.0
  0.0  75.0  75.0  30.0 -30.0  75.0 -30.0 -30.0  15.0
-60.0 -60.0  75.0   0.0 -60.0  45.0  75.0  30.0 -60.0
 75.0 -60.0   0.0  15.0  15.0  30.0  75.0 -60.0 -60.0
 75.0 -30.0 -60.0 -60.0  45.0 -30.0 -30.0  75.0  45.0
 75.0  75.0  15.0  60.0  45.0 -60.0  30.0  45.0  15.0
 45.0 -30.0 -60.0  15.0  75.0 -30.0  15.0  75.0  75.0
-60.0  75.0  75.0 -60.0 -60.0  75.0 -30.0   0.0  75.0
 45.0  45.0  75.0  75.0 -60.0  75.0  45.0  75.0  15.0
    6    10     9     8     8     6     8     5     8
  1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0
  1.0   1.0   1.0   0.0   1.0   1.0   0.0   0.0   1.0
  1.0   1.0   1.0   0.0   1.0   1.0   1.0   0.0   1.0
  1.0   0.0   1.0   1.0   1.0   1.0   0.0   0.0   1.0
  1.0   1.0   1.0   1.0   1.0   1.0   1.0   0.0   1.0
  1.0   1.0   0.0   0.0   1.0   1.0   1.0   0.0   1.0
  1.0   1.0   1.0   0.0   1.0   1.0   0.0   1.0   1.0
  1.0   1.0   0.0   0.0   1.0   1.0   0.0   1.0   1.0
  1.0   1.0   1.0   0.0   1.0   1.0   1.0   0.0   1.0
  1.0   0.0   1.0   0.0   1.0   1.0   1.0   1.0   1.0
    X   1.0   0.0   0.0   1.0   1.0   1.0   0.0   1.0
  1.0   0.0   0.0   0.0   1.0   1.0   1.0   1.0   1.0
